Campaign report
1 March 2025 - 31 March 2026
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimisation score,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,CTR,Avg. CPM,Contact,Submit lead form,Get directions,Shop visit,Phone call lead,Bid strategy type,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,Feathers Wellness Spa T Nagar - GMB Ads,375.00, --,Daily,INR,Eligible,, --,Smart,"5,288,361","54,131",1.02%,2.52,136435.66,1.02%,25.80,"4,571.00",490.00,"3,135.00",445.33,45.00,Maximise clicks,"54,131",8.37%,"4,532.00",2.52,30.10
Enabled,TNagar_Call_Only,200.00, --,Daily,INR,Eligible (Learning),bidding strategy learning; unknown,78.62,Search,0,0, --,0,0.00, --,0,0.00,0.00,0.00,0.00,0.00,Maximise Conversions,0,0.00%,0.00,0,0.00
Enabled,Feathers Wellness Spa -  Sarathi - T Nagar,700.00, --,Daily,INR,Eligible (Limited),limited by budget; unknown,76.53,Search,"578,131","54,608",9.45%,5.52,301259.09,9.45%,521.09,"5,907.00",12.00,"18,405.00",757.50,1.00,Maximise Conversions (Target CPA),"54,608",35.09%,"19,164.50",5.52,15.72
Enabled,Feathers Wellness Spa - Nirmal complex - T Nagar,500.00, --,Daily,INR,Eligible (Limited),limited by budget; unknown,72.24,Search,"5,313",538,10.13%,10.03,5395.08,10.13%,1015.45,40.00,0.00,194.00,7.00,1.00,Maximise Conversions (Target CPA),538,37.55%,202.00,10.03,26.71
Total: Campaigns, --, --, --, --,INR, --,, --, --,"5,871,805","109,277",1.86%,4.05,443089.83,1.86%,75.46,"10,518.00",502.00,"21,734.00","1,209.84",47.00, --,"109,277",21.87%,"23,898.50",4.05,18.54
Total: Account,,,,,INR,,,,,"5,997,658","110,382",1.84%,4.07,449288.28,1.84%,74.91,"10,544.00",503.00,"21,826.00","1,214.84",55.00,,"110,381",21.75%,"24,011.50",4.07,18.71
Total: Display,,,,,INR,,,,Display,0,0, --,0,0.00, --,0,0.00,0.00,0.00,0.00,0.00,,0,0.00%,0.00,0,0.00
Total: Smart,,,,,INR,,,,Smart,"5,338,817","54,650",1.02%,2.58,140889.67,1.02%,26.39,"4,581.00",491.00,"3,164.00",449.33,53.00,,"54,650",8.35%,"4,564.00",2.58,30.87
Total: Search,,,,,INR,,,,Search,"583,444","55,146",9.45%,5.56,306654.17,9.45%,525.59,"5,947.00",12.00,"18,599.00",764.50,2.00,,"55,146",35.12%,"19,366.50",5.56,15.83
Total: Performance Max,,,,,INR,,,,Performance Max,"75,397",586,0.78%,2.98,1744.44,0.78%,23.14,16.00,0.00,63.00,1.00,0.00,,585,13.65%,81.00,2.98,21.54
